,tweetid,userid,screen_name,date,lang,location,text,tweet_type,followers_count,favourites_count,verified,hashtag,urls_list,account_creation_date,mentionid,mentionsn,rt_userid
18427,1227294580263079936,3222896943,el_hereje_,tue feb 11 18:13:24 +0000 2020,es,"quito, ecuador",jajajajaja #coronavirus #antivaxxers #antivacunas https://t.co/fqonnaiebe,original,63,579,false,"[coronavirus, antivaxxers, antivacunas]",[],thu apr 30 02:47:03 +0000 2015,[],[],
12090,1227293365697437703,1104759620495704064,exvaxxer_mommy,tue feb 11 18:08:35 +0000 2020,en,,"rt @lotusoak2: #vaccine herd immunity is a myth!
https://t.co/iucrkl5h8v
#learntherisk #measles #outbreak #vaccines",retweeted_tweet_without_comment,224,5016,false,"[vaccine, learntherisk, measles, outbreak, vaccines]",[],sun mar 10 15:03:13 +0000 2019,[424664120],['lotusoak2'],424664120.0
37171,1227319663266353152,1146660386286034944,mama_crypto,tue feb 11 19:53:04 +0000 2020,en,,"would people willingly take this #vaccine ? what about those who are #antivax #antivaxx ? interesting, if you don’t take the vaccine, you may well be screwed 🤷‍♀️ #coronavirus #coronaviruscoverup #coronavirusoutbreak",quoted_tweet,1457,16890,false,"[vaccine, antivax, antivaxx, coronavirus, coronaviruscoverup, coronavirusoutbreak]",[],thu jul 04 06:01:54 +0000 2019,[],[],
5674,1227322583395295232,715657905161289728,driacob,tue feb 11 20:04:41 +0000 2020,und,,#coronavirus #antivaxer https://t.co/xkpwptkmff,original,305,18781,false,"[coronavirus, antivaxer]",[],thu mar 31 21:51:55 +0000 2016,[],[],
6864,1227322841747595265,1319080033,samsamgamgee,tue feb 11 20:05:42 +0000 2020,und,,rt @driacob: #coronavirus #antivaxer https://t.co/xkpwptkmff,retweeted_tweet_without_comment,180,10226,false,"[coronavirus, antivaxer]",[],sun mar 31 20:27:29 +0000 2013,[715657905161289728],['driacob'],7.156579051612897e+17
45930,1227331214052294657,1178713684937527296,crittervillek,tue feb 11 20:38:58 +0000 2020,und,phoenix az,"rt @bidneznunnayo: #vaccines
#vaxxed
#vaccinesafety
#vaccineinjury
#vaccination
#antivaxxers
#measlesoutbreak
#bigpharma
#conspiracy
#propa…",retweeted_tweet_without_comment,2237,4605,false,"[vaccines, vaxxed, vaccinesafety, vaccineinjury, vaccination, antivaxxers, measlesoutbreak, bigpharma, conspiracy]",[],mon sep 30 16:50:41 +0000 2019,[1215816645915992065],['bidneznunnayo'],1.215816645915992e+18
53249,1227332837512269825,1139523989993328640,andreaadlerphd,tue feb 11 20:45:25 +0000 2020,en," berne, suisse","dear #antivaxx, don't waste this perfect opportunity. now is the time to go to #wuhan #china and prove #science wrong. what say you @doritmi @dfreedman7 @kidoctr @grampamorris1 @gretchenlasalle @hislopmd 🤔 https://t.co/ombfsp14id",original,261,2595,false,"[antivaxx, wuhan, china, science]",[],fri jun 14 13:24:25 +0000 2019,[],[],
67279,1227335923446272005,1215816645915992065,bidneznunnayo,tue feb 11 20:57:41 +0000 2020,und,,"rt @bidneznunnayo: #vaccines
#vaxxed
#vaccinesafety
#vaccineinjury
#vaccination
#antivaxxers
#measlesoutbreak
#bigpharma
#conspiracy
#propa…",retweeted_tweet_without_comment,4768,478,false,"[vaccines, vaxxed, vaccinesafety, vaccineinjury, vaccination, antivaxxers, measlesoutbreak, bigpharma, conspiracy]",[],sat jan 11 02:04:48 +0000 2020,[1215816645915992065],['bidneznunnayo'],1.215816645915992e+18
7936,1227353190162665472,887693897652097025,vaccinologist,tue feb 11 22:06:18 +0000 2020,en,"zurich, switzerland","rt @andreaadlerphd: dear #antivaxx, don't waste this perfect opportunity. now is the time to go to #wuhan #china and prove #science wrong.…",retweeted_tweet_without_comment,21448,13911,false,"[antivaxx, wuhan, china, science]",[],wed jul 19 15:21:32 +0000 2017,[1139523989993328640],['andreaadlerphd'],1.1395239899933286e+18
21250,1227356028016168960,1225357901604233218,ariefwi48645487,tue feb 11 22:17:34 +0000 2020,en,"central java, indonesia ","rt @andreaadlerphd: dear #antivaxx, don't waste this perfect opportunity. now is the time to go to #wuhan #china and prove #science wrong.…",retweeted_tweet_without_comment,5,127,false,"[antivaxx, wuhan, china, science]",[],thu feb 06 09:57:51 +0000 2020,[1139523989993328640],['andreaadlerphd'],1.1395239899933286e+18
