tweetid,userid,screen_name,date,lang,location,text,tweet_type,followers_count,favourites_count,verified,hashtag,urls_list,account_creation_date,mentionid,mentionsn,rt_screen,rt_userid,rt_rt_count,rt_fav_count,rt_tweetid
1274287103736795136,959846678869225472,carlb14231,sat jun 20 10:24:55 +0000 2020,en,"allentown, pa","rt @bbusa617: biden rally 😂 14 people showed up , and fake ""@foxnews"" poll says biden is ahead.... 😂😂😂  @realdonaldtrump #qanon https://t.c…",retweeted_tweet_without_comment,2451,11674,false,[qanon],[],sat feb 03 17:50:56 +0000 2018,"[1674315427, 1367531, 25073877]","['bbusa617', 'foxnews', 'realdonaldtrump']",bbusa617,1674315427.0,1034,1404,1.2741046460518113e+18
1274287171365552128,3074039856,mmaisboring,sat jun 20 10:25:11 +0000 2020,en,,"if @realdonaldtrump is talking, he's lying. that's what condo salesman usually do. #trump2020 or maybe that old trump is in gitmo and the new one is a clone? #qanon #wwg1wga",quoted_tweet,424,50137,false,"[trump2020, qanon, wwg1wga]",[],wed mar 11 22:18:11 +0000 2015,[25073877],['realdonaldtrump'],,,0,0,
1274287406901010432,943880943554744320,s_a_patriot,sat jun 20 10:26:07 +0000 2020,en,,"#qanon #maga #theawakening #takebackcontrol #factsmatter #sheepnomore #msaga @realdonaldtrump  #qanonsouthafrica  facebook “fact-checker” is staffed by democrat donors, ex-cnn fake news employees  https://t.co/v2qoe93qsw",original,3817,2421,false,"[qanon, maga, theawakening, takebackcontrol, factsmatter, sheepnomore, msaga, qanonsouthafrica]","[{'url': 'https://t.co/v2qoe93qsw', 'expanded_url': 'https://www.thenewamerican.com/tech/computers/item/36080-fb-fact-checker-is-staffed-by-democrat-donors-ex-cnn-employees', 'display_url': 'thenewamerican.com/tech/computers…', 'indices': [197, 220]}]",thu dec 21 16:28:48 +0000 2017,[25073877],['realdonaldtrump'],,,0,0,
1274287560693596166,791445451790749697,elbbbb1985,sat jun 20 10:26:44 +0000 2020,en,"north carolina, usa","rt @bbusa617: biden rally 😂 14 people showed up , and fake ""@foxnews"" poll says biden is ahead.... 😂😂😂  @realdonaldtrump #qanon https://t.c…",retweeted_tweet_without_comment,14790,13486,false,[qanon],[],thu oct 27 01:04:34 +0000 2016,"[1674315427, 1367531, 25073877]","['bbusa617', 'foxnews', 'realdonaldtrump']",bbusa617,1674315427.0,1035,1404,1.2741046460518113e+18
1274287628658106368,974407243788685312,joyh19201,sat jun 20 10:27:00 +0000 2020,en,,"rt @bbusa617: biden rally 😂 14 people showed up , and fake ""@foxnews"" poll says biden is ahead.... 😂😂😂  @realdonaldtrump #qanon https://t.c…",retweeted_tweet_without_comment,250,18821,false,[qanon],[],thu mar 15 22:09:25 +0000 2018,"[1674315427, 1367531, 25073877]","['bbusa617', 'foxnews', 'realdonaldtrump']",bbusa617,1674315427.0,1036,1405,1.2741046460518113e+18
1274287877040439297,823751044240842752,doctorneilsmith,sat jun 20 10:27:59 +0000 2020,en,,"rt @bbusa617: biden rally 😂 14 people showed up , and fake ""@foxnews"" poll says biden is ahead.... 😂😂😂  @realdonaldtrump #qanon https://t.c…",retweeted_tweet_without_comment,3667,24393,false,[qanon],[],tue jan 24 04:35:28 +0000 2017,"[1674315427, 1367531, 25073877]","['bbusa617', 'foxnews', 'realdonaldtrump']",bbusa617,1674315427.0,1037,1405,1.2741046460518113e+18
1274287927384838146,1198919030704410630,sgtjayhix8,sat jun 20 10:28:11 +0000 2020,en,"durham, nc",please give me a follow on here! let’s start connecting now before it’s too late. please rt #wwg1wga #q #qanons #qanon #scotus #santathug ⁦@realdonaldtrump⁩  https://t.co/ffrpjutjhj,original,649,8977,false,"[wwg1wga, q, qanons, qanon, scotus, santathug]","[{'url': 'https://t.co/ffrpjutjhj', 'expanded_url': 'https://parler.com/profile/sgthix/posts', 'display_url': 'parler.com/profile/sgthix…', 'indices': [158, 181]}]",mon nov 25 10:59:18 +0000 2019,[],[],,,0,0,
1274287961136402433,14826029,smargypants,sat jun 20 10:28:19 +0000 2020,en,"michigan, usa",rt @elenochle: who's in line in tulsa? post photos or videos below please retweet!  @realdonaldtrump  #trumprally  #trumprallytulsa #qanon,retweeted_tweet_without_comment,5546,205134,false,"[trumprally, trumprallytulsa, qanon]",[],sun may 18 23:53:31 +0000 2008,"[942618447443144709, 25073877]","['elenochle', 'realdonaldtrump']",elenochle,9.426184474431447e+17,137,305,1.2742175871785288e+18
1274288035618672640,1156038610136600582,amenomurakumo5,sat jun 20 10:28:37 +0000 2020,ja,,rt @ototoi_kiyagare: fワード連発の下劣極まりない「平和的な抗議デモ隊」のチンピラを@realdonaldtrump サポーターの黒人男性が冷静に制止👍 #qanon #qajflynn @okabaeri9111 #qmapjapan #wwg1wga…,retweeted_tweet_without_comment,7366,40139,false,"[qanon, qajflynn, qmapjapan, wwg1wga]",[],tue jul 30 03:07:37 +0000 2019,"[102304238, 25073877, 1086230647100792832]","['ototoi_kiyagare', 'realdonaldtrump', 'okabaeri9111']",ototoi_kiyagare,102304238.0,22,23,1.2742684726675907e+18
1274288043642556416,371923973,bereantype,sat jun 20 10:28:39 +0000 2020,en,,think you're tough? anybody can hate...that's easy. wanna prove you're tough? try loving instead of hating. #jesus #bible #scripture #kag2020 #wwg1wga #qanon @realdonaldtrump @1breathaway2u @sandratownley https://t.co/dk9wzhhhct,original,1210,7325,false,"[jesus, bible, scripture, kag2020, wwg1wga, qanon]",[],sun sep 11 19:39:30 +0000 2011,[],[],,,0,0,
